symbol,type,entry_price,entry_time,target_price,target_exit_time,status,exit_price,variation,result,quality_score,signal_class,trend_score,alignment_score,market_score,strategy_info,trend_timeframe,entry_timeframe,trend_strength,confluence_count,leverage,max_exit_time,expected_duration
HOOKUSDT,LONG,0.1144,2025-07-03 01:04:24,0.12348244,2025-07-10 01:04:24,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
PLUMEUSDT,LONG,0.1021,2025-07-03 01:04:29,0.10966112,2025-07-10 01:04:29,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BIDUSDT,LONG,0.15281,2025-07-03 01:10:51,0.16248281,2025-07-10 01:10:51,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
MOODENGUSDT,LONG,0.2121,2025-07-03 01:48:56,0.23242296,2025-07-10 01:48:56,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
CHILLGUYUSDT,LONG,0.05967,2025-07-03 01:55:57,0.06327153,2025-07-10 01:55:57,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
AVAAIUSDT,LONG,0.03157,2025-07-03 01:56:07,0.0334644,2025-07-10 01:56:07,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
FUNUSDT,LONG,0.010581,2025-07-03 02:18:21,0.0112287,2025-07-10 02:18:21,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
SWARMSUSDT,LONG,0.0294,2025-07-03 02:37:29,0.03224226,2025-07-10 02:37:29,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
NEIROUSDT,LONG,0.0004963,2025-07-03 02:44:07,0.00052614,2025-07-10 02:44:07,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
SKYAIUSDT,LONG,0.0517,2025-07-03 03:04:23,0.05754251,2025-07-10 03:04:23,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BRUSDT,SHORT,0.06836,2025-07-03 13:44:50,0.06269505,2025-07-10 13:44:50,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
CHESSUSDT,LONG,0.09585,2025-07-03 13:45:09,0.10166618,2025-07-10 13:45:09,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
GRIFFAINUSDT,LONG,0.04448,2025-07-03 13:45:17,0.0472139,2025-07-10 13:45:17,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
ARCUSDT,LONG,0.02887,2025-07-03 13:45:19,0.03069696,2025-07-10 13:45:19,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
GUNUSDT,LONG,0.03071,2025-07-03 13:45:21,0.03268298,2025-07-10 13:45:21,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BDXNUSDT,SHORT,0.03164,2025-07-03 13:45:29,0.02967743,2025-07-10 13:45:29,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
